participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses,had_incorrect_press,first_incorrect_ms
333333,22,pretest,1,b,FALSE,1012.56,Miss,-2,Miss!,timeout,,b,0,FALSE,
333333,22,pretest,2,n,FALSE,1004.96,Miss,-2,Miss!,timeout,,n,0,FALSE,
333333,22,pretest,3,v,FALSE,1011.38,Miss,-2,Miss!,timeout,,v,0,FALSE,
333333,22,pretest,4,m,FALSE,84.33,Great,3,Great,,m,m,1,FALSE,
333333,22,pretest,5,v,FALSE,1012.36,Miss,-2,Miss!,timeout,,v,0,TRUE,698.57
333333,22,pretest,6,m,FALSE,313.62,Good,2,Good,,m,m,1,FALSE,
333333,22,pretest,7,v,FALSE,1009.11,Miss,-2,Miss!,timeout,,v,0,FALSE,
333333,22,pretest,8,n,FALSE,1006.24,Miss,-2,Miss!,timeout,,n,0,FALSE,
333333,22,pretest,9,n,FALSE,1002.45,Miss,-2,Miss!,timeout,,n,0,FALSE,
333333,22,pretest,10,m,FALSE,283.35,Good,2,Good,,m,m,1,FALSE,
333333,22,pretest,11,b,FALSE,1000.42,Miss,-2,Miss!,timeout,,b,0,FALSE,
333333,22,pretest,12,n,FALSE,1013.39,Miss,-2,Miss!,timeout,,n,0,FALSE,
333333,22,pretest,13,b,FALSE,1009.17,Miss,-2,Miss!,timeout,,b,0,TRUE,479.67
333333,22,pretest,14,n,FALSE,1011.4,Miss,-2,Miss!,timeout,,n,0,TRUE,0.45
333333,22,pretest,15,m,FALSE,783.16,Late,1,Late,,m,m,1,FALSE,
333333,22,pretest,16,m,FALSE,1004.7,Miss,-2,Miss!,timeout,,m,0,FALSE,
333333,22,pretest,17,m,FALSE,1015.64,Miss,-2,Miss!,timeout,,m,0,FALSE,
333333,22,pretest,18,m,FALSE,1012.7,Miss,-2,Miss!,timeout,,m,0,FALSE,
333333,22,pretest,19,b,FALSE,1012.79,Miss,-2,Miss!,timeout,,b,0,FALSE,
333333,22,pretest,20,m,FALSE,1002.59,Miss,-2,Miss!,timeout,,m,0,FALSE,
