participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses,had_incorrect_press,first_incorrect_ms
20569235,22,pretest,1,b,FALSE,445.57,Good,2,Good,,b,b,1,FALSE,
20569235,22,pretest,2,n,FALSE,1015.56,Miss,-2,Miss!,timeout,,n,0,FALSE,
20569235,22,pretest,3,m,FALSE,346.87,Good,2,Good,,m,m,1,FALSE,
20569235,22,pretest,4,m,FALSE,452.32,Good,2,Good,,m,m,1,FALSE,
20569235,22,pretest,5,v,FALSE,299.99,Good,2,Good,,v,v,1,FALSE,
20569235,22,pretest,6,m,FALSE,379.76,Good,2,Good,,m,m,1,FALSE,
20569235,22,pretest,7,m,FALSE,360.63,Good,2,Good,,m,m,1,FALSE,
20569235,22,pretest,8,n,FALSE,1001.12,Miss,-2,Miss!,timeout,,n,0,FALSE,
20569235,22,pretest,9,v,FALSE,449.71,Good,2,Good,,v,v,1,FALSE,
20569235,22,pretest,10,v,FALSE,430.16,Good,2,Good,,v,v,1,FALSE,
20569235,22,pretest,11,b,FALSE,331.12,Good,2,Good,,b,b,1,FALSE,
20569235,22,pretest,12,v,FALSE,401.64,Good,2,Good,,v,v,1,FALSE,
20569235,22,pretest,13,v,FALSE,316.16,Good,2,Good,,v,v,1,FALSE,
20569235,22,pretest,14,v,FALSE,351.78,Good,2,Good,,v,v,1,FALSE,
20569235,22,pretest,15,b,FALSE,335.66,Good,2,Good,,b,b,1,FALSE,
20569235,22,pretest,16,n,FALSE,1016.23,Miss,-2,Miss!,timeout,,n,0,FALSE,
20569235,22,pretest,17,v,FALSE,295.23,Good,2,Good,,v,v,1,FALSE,
20569235,22,pretest,18,b,FALSE,334.47,Good,2,Good,,b,b,1,FALSE,
20569235,22,pretest,19,b,FALSE,366.53,Good,2,Good,,b,b,1,FALSE,
20569235,22,pretest,20,n,FALSE,1001.52,Miss,-2,Miss!,timeout,,n,0,FALSE,
