participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses,had_incorrect_press,first_incorrect_ms
et,23,pretest,1,m,FALSE,615.28,Late,1,Late,,m,m,1,FALSE,
et,23,pretest,2,m,FALSE,545.41,Late,1,Late,,m,m,1,FALSE,
et,23,pretest,3,b,FALSE,382.52,Good,2,Good,,b,b,1,FALSE,
et,23,pretest,4,n,FALSE,1503.19,Miss,-2,Miss!,timeout,,n,0,TRUE,462.76
et,23,pretest,5,v,FALSE,773.11,Late,1,Late,,v,v,1,FALSE,
et,23,pretest,6,m,FALSE,482.04,Good,2,Good,,m,m,1,FALSE,
et,23,pretest,7,v,FALSE,451.93,Good,2,Good,,v,v,1,FALSE,
et,23,pretest,8,v,FALSE,444.25,Good,2,Good,,v,v,1,FALSE,
et,23,pretest,9,n,FALSE,1500.08,Miss,-2,Miss!,timeout,,n,0,TRUE,383.48
et,23,pretest,10,n,FALSE,1513.95,Miss,-2,Miss!,timeout,,n,0,TRUE,426.32
et,23,pretest,11,b,FALSE,417.9,Good,2,Good,,b,b,1,FALSE,
et,23,pretest,12,v,FALSE,432.52,Good,2,Good,,v,v,1,FALSE,
et,23,pretest,13,n,FALSE,1516.81,Miss,-2,Miss!,timeout,,n,0,TRUE,430.83
et,23,pretest,14,n,FALSE,1504.33,Miss,-2,Miss!,timeout,,n,0,FALSE,
et,23,pretest,15,m,FALSE,583.73,Late,1,Late,,m,m,1,FALSE,
et,23,pretest,16,n,FALSE,1507.23,Miss,-2,Miss!,timeout,,n,0,TRUE,584.52
et,23,pretest,17,b,FALSE,298.16,Good,2,Good,,b,b,1,FALSE,
et,23,pretest,18,m,FALSE,512.29,Late,1,Late,,m,m,1,FALSE,
et,23,pretest,19,m,FALSE,599.61,Late,1,Late,,m,m,1,FALSE,
et,23,pretest,20,v,FALSE,517.09,Late,1,Late,,v,v,1,FALSE,
et,23,pretest,21,m,FALSE,485.14,Good,2,Good,,m,m,1,FALSE,
et,23,pretest,22,n,FALSE,1510.83,Miss,-2,Miss!,timeout,,n,0,TRUE,469.37
et,23,pretest,23,n,FALSE,1508.54,Miss,-2,Miss!,timeout,,n,0,TRUE,518.05
et,23,pretest,24,n,FALSE,1510.67,Miss,-2,Miss!,timeout,,n,0,TRUE,446.84
et,23,pretest,25,v,FALSE,436.39,Good,2,Good,,v,v,1,FALSE,
et,23,pretest,26,b,FALSE,383.98,Good,2,Good,,b,b,1,FALSE,
et,23,pretest,27,m,FALSE,375.55,Good,2,Good,,m,m,1,FALSE,
et,23,pretest,28,v,FALSE,433.48,Good,2,Good,,v,v,1,FALSE,
et,23,pretest,29,b,FALSE,1502.1,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,pretest,30,b,FALSE,746.59,Late,1,Late,,b,b,1,FALSE,
et,23,pretest,31,b,FALSE,1507.46,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,pretest,32,v,FALSE,510.89,Late,1,Late,,v,v,1,FALSE,
et,23,pretest,33,m,FALSE,466.62,Good,2,Good,,m,m,1,FALSE,
et,23,pretest,34,b,FALSE,430.08,Good,2,Good,,b,b,1,FALSE,
et,23,pretest,35,n,FALSE,1513.04,Miss,-2,Miss!,timeout,,n,0,TRUE,465.8
et,23,pretest,36,v,FALSE,974.52,Late,1,Late,,v,v,1,FALSE,
et,23,pretest,37,m,FALSE,467.77,Good,2,Good,,m,m,1,FALSE,
et,23,pretest,38,m,FALSE,465.03,Good,2,Good,,m,m,1,FALSE,
et,23,pretest,39,m,FALSE,416.53,Good,2,Good,,m,m,1,FALSE,
et,23,pretest,40,m,FALSE,464.49,Good,2,Good,,m,m,1,FALSE,
et,23,pretest,41,v,FALSE,417.4,Good,2,Good,,v,v,1,FALSE,
et,23,pretest,42,b,FALSE,492.69,Good,2,Good,,b,b,1,FALSE,
et,23,pretest,43,b,FALSE,1240.3,Late,1,Late,,b,b,1,FALSE,
et,23,pretest,44,v,FALSE,531.27,Late,1,Late,,v,v,1,FALSE,
et,23,pretest,45,b,FALSE,800.74,Late,1,Late,,b,b,1,FALSE,
et,23,pretest,46,n,FALSE,1503.28,Miss,-2,Miss!,timeout,,n,0,TRUE,574.58
et,23,pretest,47,n,FALSE,1502.66,Miss,-2,Miss!,timeout,,n,0,TRUE,444.41
et,23,pretest,48,m,FALSE,748.52,Late,1,Late,,m,m,1,FALSE,
et,23,pretest,49,m,FALSE,449.33,Good,2,Good,,m,m,1,FALSE,
et,23,pretest,50,v,FALSE,448.94,Good,2,Good,,v,v,1,FALSE,
et,23,main,1,b,FALSE,412.85,Good,2,Good,,b,b,1,FALSE,
et,23,main,2,v,FALSE,480.78,Good,2,Good,,v,v,1,FALSE,
et,23,main,3,n,FALSE,1505.12,Miss,-2,Miss!,timeout,,n,0,TRUE,545.5
et,23,main,4,b,FALSE,365.09,Good,2,Good,,b,b,1,FALSE,
et,23,main,5,m,FALSE,417.99,Good,2,Good,,m,m,1,FALSE,
et,23,main,6,v,FALSE,431.04,Good,2,Good,,v,v,1,FALSE,
et,23,main,7,b,FALSE,431.46,Good,2,Good,,b,b,1,FALSE,
et,23,main,8,n,FALSE,1513.31,Miss,-2,Miss!,timeout,,n,0,TRUE,384.01
et,23,main,9,m,FALSE,430.88,Good,2,Good,,m,m,1,FALSE,
et,23,main,10,b,FALSE,431.37,Good,2,Good,,b,b,1,FALSE,
et,23,main,11,b,FALSE,313.31,Good,2,Good,,b,b,1,FALSE,
et,23,main,12,v,FALSE,348.02,Good,2,Good,,v,v,1,FALSE,
et,23,main,13,n,FALSE,1509.82,Miss,-2,Miss!,timeout,,n,0,FALSE,
et,23,main,14,b,FALSE,1505.34,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,main,15,m,FALSE,464.83,Good,2,Good,,m,m,1,FALSE,
et,23,main,16,v,FALSE,411.47,Good,2,Good,,v,v,1,FALSE,
et,23,main,17,b,FALSE,1502.59,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,main,18,n,FALSE,1504.37,Miss,-2,Miss!,timeout,,n,0,TRUE,531.0
et,23,main,19,m,FALSE,1504.24,Miss,-2,Miss!,timeout,,m,0,FALSE,
et,23,main,20,b,FALSE,549.55,Late,1,Late,,b,b,1,FALSE,
et,23,main,21,b,FALSE,115.7,Great,3,Great,,b,b,1,FALSE,
et,23,main,22,v,FALSE,545.09,Late,1,Late,,v,v,1,FALSE,
et,23,main,23,n,FALSE,1508.13,Miss,-2,Miss!,timeout,,n,0,TRUE,148.66
et,23,main,24,b,FALSE,508.35,Late,1,Late,,b,b,1,FALSE,
et,23,main,25,m,FALSE,403.09,Good,2,Good,,m,m,1,FALSE,
et,23,main,26,v,FALSE,400.0,Good,2,Good,,v,v,1,FALSE,
et,23,main,27,b,FALSE,620.25,Late,1,Late,,b,b,1,FALSE,
et,23,main,28,n,FALSE,1508.26,Miss,-2,Miss!,timeout,,n,0,FALSE,
et,23,main,29,m,FALSE,329.73,Good,2,Good,,m,m,1,FALSE,
et,23,main,30,b,FALSE,1508.31,Miss,-2,Miss!,timeout,,b,0,TRUE,400.0
et,23,main,31,b,FALSE,326.54,Good,2,Good,,b,b,1,FALSE,
et,23,main,32,v,FALSE,516.61,Late,1,Late,,v,v,1,FALSE,
et,23,main,33,n,FALSE,1515.23,Miss,-2,Miss!,timeout,,n,0,FALSE,
et,23,main,34,b,FALSE,1506.87,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,main,35,m,FALSE,498.65,Good,2,Good,,m,m,1,FALSE,
et,23,main,36,v,FALSE,480.68,Good,2,Good,,v,v,1,FALSE,
et,23,main,37,b,FALSE,460.4,Good,2,Good,,b,b,1,FALSE,
et,23,main,38,n,FALSE,1502.02,Miss,-2,Miss!,timeout,,n,0,FALSE,
et,23,main,39,m,FALSE,428.36,Good,2,Good,,m,m,1,FALSE,
et,23,main,40,b,FALSE,1510.21,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,main,41,b,FALSE,1507.03,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,main,42,v,FALSE,513.73,Late,1,Late,,v,v,1,FALSE,
et,23,main,43,n,FALSE,1509.27,Miss,-2,Miss!,timeout,,n,0,FALSE,
et,23,main,44,b,FALSE,827.77,Late,1,Late,,b,b,1,FALSE,
et,23,main,45,m,FALSE,449.59,Good,2,Good,,m,m,1,FALSE,
et,23,main,46,v,FALSE,479.73,Good,2,Good,,v,v,1,FALSE,
et,23,main,47,b,FALSE,1503.05,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,main,48,n,FALSE,1508.43,Miss,-2,Miss!,timeout,,n,0,FALSE,
et,23,main,49,m,FALSE,464.34,Good,2,Good,,m,m,1,FALSE,
et,23,main,50,b,FALSE,366.05,Good,2,Good,,b,b,1,FALSE,
et,23,main,51,b,FALSE,1512.24,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,main,52,v,FALSE,616.46,Late,1,Late,,v,v,1,FALSE,
et,23,main,53,n,FALSE,1515.13,Miss,-2,Miss!,timeout,,n,0,FALSE,
et,23,main,54,b,FALSE,700.85,Late,1,Late,,b,b,1,FALSE,
et,23,main,55,m,FALSE,451.8,Good,2,Good,,m,m,1,FALSE,
et,23,main,56,v,FALSE,513.55,Late,1,Late,,v,v,1,FALSE,
et,23,main,57,b,FALSE,1512.02,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,main,58,n,FALSE,1507.54,Miss,-2,Miss!,timeout,,n,0,FALSE,
et,23,main,59,m,FALSE,415.5,Good,2,Good,,m,m,1,FALSE,
et,23,main,60,b,FALSE,1500.73,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,main,61,b,FALSE,1505.04,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,main,62,v,FALSE,408.74,Good,2,Good,,v,v,1,FALSE,
et,23,main,63,n,FALSE,1512.3,Miss,-2,Miss!,timeout,,n,0,FALSE,
et,23,main,64,b,FALSE,1500.1,Miss,-2,Miss!,timeout,,b,0,FALSE,
et,23,main,65,m,FALSE,449.34,Good,2,Good,,m,m,1,FALSE,
et,23,main,66,v,FALSE,498.17,Good,2,Good,,v,v,1,FALSE,
et,23,main,67,b,FALSE,1500.08,Miss,-2,Miss!,timeout,,b,0,FALSE,
