participant,age,block,trial,lane,is_multi_lane,time_difference_ms,early_late,points,feedback,error_type,keys_pressed,correct_keys,num_presses,had_incorrect_press,first_incorrect_ms
20725590,21,pretest,1,m,FALSE,414.89,Good,2,Good,,m,m,1,FALSE,
20725590,21,pretest,2,b,FALSE,296.22,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,3,b,FALSE,494.68,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,4,b,FALSE,1011.31,Miss,-2,Miss!,timeout,,b,0,FALSE,
20725590,21,pretest,5,b,FALSE,345.07,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,6,n,FALSE,1014.62,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,7,b,FALSE,333.19,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,8,n,FALSE,1010.37,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,9,m,FALSE,331.14,Good,2,Good,,m,m,1,FALSE,
20725590,21,pretest,10,b,FALSE,300.82,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,11,v,FALSE,298.23,Good,2,Good,,v,v,1,FALSE,
20725590,21,pretest,12,m,FALSE,315.14,Good,2,Good,,m,m,1,FALSE,
20725590,21,pretest,13,m,FALSE,331.5,Good,2,Good,,m,m,1,FALSE,
20725590,21,pretest,14,m,FALSE,332.1,Good,2,Good,,m,m,1,FALSE,
20725590,21,pretest,15,v,FALSE,349.09,Good,2,Good,,v,v,1,FALSE,
20725590,21,pretest,16,b,FALSE,282.28,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,17,n,FALSE,1012.9,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,18,b,FALSE,574.49,Late,1,Late,,b,b,1,TRUE,328.08
20725590,21,pretest,19,n,FALSE,1012.76,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,20,v,FALSE,399.19,Good,2,Good,,v,v,1,FALSE,
20725590,21,pretest,21,b,FALSE,329.65,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,22,b,FALSE,312.15,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,23,b,FALSE,281.27,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,24,m,FALSE,316.17,Good,2,Good,,m,m,1,FALSE,
20725590,21,pretest,25,v,FALSE,298.37,Good,2,Good,,v,v,1,FALSE,
20725590,21,pretest,26,v,FALSE,333.18,Good,2,Good,,v,v,1,FALSE,
20725590,21,pretest,27,b,FALSE,270.38,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,28,b,FALSE,350.1,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,29,m,FALSE,316.16,Good,2,Good,,m,m,1,FALSE,
20725590,21,pretest,30,v,FALSE,317.64,Good,2,Good,,v,v,1,FALSE,
20725590,21,pretest,31,n,FALSE,1004.28,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,32,n,FALSE,1012.32,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,33,m,FALSE,646.75,Late,1,Late,,m,m,1,FALSE,
20725590,21,pretest,34,n,FALSE,1013.31,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,35,n,FALSE,1000.07,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,36,n,FALSE,1001.26,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,37,m,FALSE,367.01,Good,2,Good,,m,m,1,FALSE,
20725590,21,pretest,38,n,FALSE,1014.87,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,39,n,FALSE,1005.49,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,40,v,FALSE,379.05,Good,2,Good,,v,v,1,FALSE,
20725590,21,pretest,41,m,FALSE,350.61,Good,2,Good,,m,m,1,FALSE,
20725590,21,pretest,42,v,FALSE,332.05,Good,2,Good,,v,v,1,FALSE,
20725590,21,pretest,43,v,FALSE,314.99,Good,2,Good,,v,v,1,FALSE,
20725590,21,pretest,44,n,FALSE,1004.86,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,45,m,FALSE,315.1,Good,2,Good,,m,m,1,FALSE,
20725590,21,pretest,46,b,FALSE,291.49,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,47,m,FALSE,462.84,Good,2,Good,,m,m,1,FALSE,
20725590,21,pretest,48,n,FALSE,1014.74,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,pretest,49,b,FALSE,338.68,Good,2,Good,,b,b,1,FALSE,
20725590,21,pretest,50,b,FALSE,343.09,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,1,b,FALSE,300.2,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,2,v,FALSE,415.33,Good,2,Good,,v,v,1,TRUE,267.82
20725590,21,main,3,n,FALSE,1006.3,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,4,b,FALSE,293.88,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,5,m,FALSE,477.25,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,6,v,FALSE,367.99,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,7,b,FALSE,283.34,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,8,n,FALSE,1008.4,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,9,m,FALSE,300.26,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,10,b,FALSE,314.14,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,11,b,FALSE,315.19,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,12,v,FALSE,297.15,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,13,n,FALSE,1010.92,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,14,b,FALSE,313.97,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,15,m,FALSE,380.05,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,16,v,FALSE,331.14,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,17,b,FALSE,328.11,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,18,n,FALSE,1004.78,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,19,m,FALSE,330.26,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,20,b,FALSE,281.23,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,21,b,FALSE,296.8,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,22,v,FALSE,317.02,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,23,n,FALSE,1015.32,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,24,b,FALSE,330.12,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,25,m,FALSE,410.22,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,26,v,FALSE,346.58,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,27,b,FALSE,265.37,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,28,n,FALSE,1010.04,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,29,m,FALSE,281.02,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,30,b,FALSE,217.29,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,31,b,FALSE,247.32,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,32,v,FALSE,282.4,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,33,n,FALSE,1011.65,Miss,-2,Miss!,timeout,,n,0,TRUE,197.56
20725590,21,main,34,b,FALSE,231.41,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,35,m,FALSE,267.33,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,36,v,FALSE,348.05,Good,2,Good,,v,v,1,TRUE,234.39
20725590,21,main,37,b,FALSE,230.51,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,38,n,FALSE,1016.06,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,39,m,FALSE,302.23,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,40,b,FALSE,477.36,Good,2,Good,,b,b,1,TRUE,313.78
20725590,21,main,41,b,FALSE,309.72,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,42,v,FALSE,347.09,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,43,n,FALSE,1016.82,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,44,b,FALSE,529.18,Late,1,Late,,b,b,1,TRUE,365.69
20725590,21,main,45,m,FALSE,381.99,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,46,v,FALSE,647.26,Late,1,Late,,v,v,1,FALSE,
20725590,21,main,47,b,FALSE,217.57,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,48,n,FALSE,1014.7,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,49,m,FALSE,316.13,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,50,b,FALSE,242.76,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,51,b,FALSE,347.09,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,52,v,FALSE,284.19,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,53,n,FALSE,1008.49,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,54,b,FALSE,312.74,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,55,m,FALSE,280.33,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,56,v,FALSE,350.07,Good,2,Good,,v,v,1,TRUE,233.45
20725590,21,main,57,b,FALSE,213.51,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,58,n,FALSE,1009.33,Miss,-2,Miss!,timeout,,n,0,TRUE,278.05
20725590,21,main,59,m,FALSE,268.22,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,60,b,FALSE,234.35,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,61,b,FALSE,230.6,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,62,v,FALSE,298.15,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,63,n,FALSE,1014.89,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,64,b,FALSE,395.98,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,65,m,FALSE,365.0,Good,2,Good,,m,m,1,TRUE,233.38
20725590,21,main,66,v,FALSE,333.14,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,67,b,FALSE,250.22,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,68,n,FALSE,1001.35,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,69,m,FALSE,294.98,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,70,b,FALSE,213.87,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,71,b,FALSE,379.65,Good,2,Good,,b,b,1,TRUE,313.75
20725590,21,main,72,v,FALSE,350.09,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,73,n,FALSE,1015.36,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,74,b,FALSE,246.35,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,75,m,FALSE,398.14,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,76,v,FALSE,435.38,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,77,b,FALSE,246.91,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,78,n,FALSE,1002.36,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,79,m,FALSE,298.18,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,80,b,FALSE,280.59,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,81,b,FALSE,266.33,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,82,v,FALSE,347.61,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,83,n,FALSE,1012.88,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,84,b,FALSE,348.62,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,85,m,FALSE,247.19,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,86,v,FALSE,396.67,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,87,b,FALSE,263.32,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,88,n,FALSE,1015.34,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,89,m,FALSE,249.35,Good,2,Good,,m,m,1,FALSE,
20725590,21,main,90,b,FALSE,284.29,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,91,b,FALSE,397.87,Good,2,Good,,b,b,1,FALSE,
20725590,21,main,92,v,FALSE,396.01,Good,2,Good,,v,v,1,FALSE,
20725590,21,main,93,n,FALSE,1010.33,Miss,-2,Miss!,timeout,,n,0,FALSE,
20725590,21,main,94,b,FALSE,314.15,Good,2,Good,,b,b,1,FALSE,
